Date,Open,High,Low,Close,Adjusted_close,Volume
2002-12-06,39.0,43.2,38.9,42.9,5.6936,5510200
2002-12-09,42.7,42.8,41.14,42.02,5.5769,629900
2002-12-10,42.05,43.3,41.65,42.75,5.6738,344600
2002-12-11,42.7,45.5,42.3,45.06,5.9805,509800
2002-12-12,45.06,45.06,43.6,43.91,5.8278,271100
2002-12-13,43.91,43.97,43.25,43.65,5.7931,197500
2002-12-16,43.5,43.75,42.95,43.1,5.7202,159600
2002-12-17,43.0,44.0,42.8,43.27,5.7429,329200
2002-12-18,43.2,43.2,42.55,42.67,5.6632,148400
2002-12-19,42.55,42.7,42.17,42.3,5.6141,136800
2002-12-20,42.4,44.6,42.0,44.45,5.8995,180900
2002-12-23,44.35,44.55,43.35,43.4,5.7604,127700
2002-12-24,43.6,43.6,42.96,43.05,5.7136,43600
2002-12-26,43.1,43.15,42.55,42.6,5.654,65000
2002-12-27,42.5,42.5,41.75,42.0,5.5742,166100
2002-12-30,42.3,42.85,42.1,42.32,5.6168,215300
2002-12-31,42.27,43.8,42.27,43.66,5.7945,355600
2003-01-02,43.66,43.95,43.45,43.72,5.8027,63000
2003-01-03,43.72,45.8,43.52,45.8,6.0787,172300
2003-01-06,45.03,48.35,45.03,48.1,6.3844,374900
2003-01-07,48.0,48.6,47.25,48.02,6.3732,276600
2003-01-08,48.03,48.27,47.67,48.01,6.3718,82200
2003-01-09,48.1,49.2,47.66,49.05,6.5102,129800
2003-01-10,48.85,49.35,48.71,48.99,6.5022,168800
2003-01-13,49.0,49.68,48.87,49.62,6.5857,162000
2003-01-14,49.62,50.0,49.07,49.1,6.5167,110800
2003-01-15,48.4,48.4,46.76,47.05,6.2446,291800
2003-01-16,47.0,47.0,45.27,45.38,6.023,145000
2003-01-17,45.25,45.52,44.8,45.02,5.9751,118100
2003-01-21,45.05,45.2,44.26,44.45,5.8995,93600
2003-01-22,44.3,44.4,44.1,44.15,5.8594,32700
2003-01-23,44.2,45.75,44.13,45.43,6.0294,95200
2003-01-24,45.35,47.1,45.0,46.99,6.2368,137000
2003-01-27,46.79,46.9,46.2,46.25,6.138,41800
2003-01-28,46.3,46.58,46.0,46.01,6.1067,72900
2003-01-29,45.9,47.0,45.76,46.5,6.1715,80300
2003-01-30,46.5,46.59,43.8,44.2,5.8664,147000
2003-01-31,44.0,44.05,42.01,42.5,5.6403,577200
2003-02-03,42.45,42.9,42.16,42.35,5.6208,156000
2003-02-04,42.2,42.2,41.55,42.0,5.5742,148000
2003-02-05,41.95,42.0,41.35,41.74,5.54,231800
2003-02-06,41.7,42.02,41.45,41.5,5.5077,215500
2003-02-07,41.6,42.15,41.55,42.11,5.5889,148900
2003-02-10,42.11,43.4,42.05,43.0,5.7073,55700
2003-02-11,43.0,43.53,42.9,42.91,5.6953,44500
2003-02-12,42.75,42.95,42.48,42.91,5.6953,71100
2003-02-13,42.85,43.72,42.82,43.5,5.7733,53100
2003-02-14,43.7,44.8,43.7,44.5,5.906000000000001,191600
2003-02-18,44.75,44.8,44.15,44.52,5.9088,150700
2003-02-19,44.53,45.0,44.4,44.77,5.942,84100
2003-02-20,44.8,45.1,44.7,45.03,5.9764,31800
2003-02-21,45.04,45.66,45.0,45.36,6.0204,41200
2003-02-24,45.0,45.8,45.0,45.54,6.0443,36500
2003-02-25,45.5,45.8,45.35,45.72,6.068,28900
2003-02-26,45.74,46.0,45.1,45.34,6.0176,42800
2003-02-27,45.24,45.25,43.3,43.3,5.7466,189000
2003-02-28,43.25,43.8,42.87,43.05,5.7136,112900
2003-03-03,43.06,43.56,43.0,43.13,5.7242,42200
2003-03-04,43.1,43.24,42.82,42.82,5.6832,30200
2003-03-05,42.83,42.96,42.2,42.25,5.6076,53900
2003-03-06,42.11,42.65,42.11,42.34,5.6325,70500
2003-03-07,42.35,42.74,42.21,42.33,5.6314,35100
2003-03-10,42.28,42.66,42.27,42.36,5.6349,32600
2003-03-11,42.37,42.7,42.17,42.27,5.622999999999999,20900
2003-03-12,42.4,42.55,41.9,42.38,5.6375,62400
2003-03-13,42.5,42.7,42.41,42.52,5.6561,40800
2003-03-14,42.5,43.4,42.5,43.2,5.7465,94300
2003-03-17,43.2,46.19,43.2,45.95,6.1123,121400
2003-03-18,45.97,46.83,45.7,46.05,6.1259,95700
2003-03-19,46.1,46.95,46.1,46.95,6.2457,29900
2003-03-20,46.96,46.96,45.55,45.55,6.0593,114200
2003-03-21,45.7,47.13,45.7,47.1,6.2656,126500
2003-03-24,47.0,48.21,46.73,48.0,6.3852,222400
2003-03-25,47.95,48.55,47.95,48.43,6.4423,109100
2003-03-26,48.4,48.91,48.4,48.5,6.4519,215200
2003-03-27,48.4,48.9,47.8,48.9,6.5051,155500
2003-03-28,48.8,48.8,48.4,48.65,6.4716,61300
2003-03-31,48.55,48.55,47.76,48.15,6.405,87000
2003-04-01,48.16,48.19,47.58,47.97,6.3813,46400
2003-04-02,47.37,48.3,47.23,48.16,6.4064,107200
2003-04-03,48.2,49.2,48.2,48.28,6.4223,126600
2003-04-04,48.35,48.8,48.26,48.4,6.4381,64300
2003-04-07,48.7,48.85,46.67,46.7,6.2124,221900
2003-04-08,46.6,46.77,46.15,46.46,6.1805,79600
2003-04-09,46.55,46.9,46.25,46.75,6.2194,78000
2003-04-10,46.8,47.15,46.55,47.12,6.2683,44900
2003-04-11,47.2,47.2,46.63,46.77,6.2217,35700
2003-04-14,46.77,47.6,46.7,47.51,6.32,42500
2003-04-15,47.47,47.67,47.43,47.5,6.3186,39700
2003-04-16,47.55,47.91,47.52,47.61,6.3336,56000
2003-04-17,48.61,49.67,48.54,49.04,6.5235,216400
2003-04-21,48.84,48.89,48.27,48.72,6.4811,48700
2003-04-22,49.01,50.55,48.18,49.79,6.6231,321400
2003-04-23,50.29,51.25,50.0,50.5,6.7177,308000
2003-04-24,50.5,51.6,50.5,51.6,6.8642,128800
2003-04-25,51.6,52.7,51.6,52.45,6.9774,181000
2003-04-28,52.65,56.19,52.65,55.4,7.3695,543500
2003-04-29,55.41,56.12,54.78,55.65,7.4026,291000
2003-04-30,55.6,56.75,55.12,56.54,7.5208,177100
2003-05-01,56.54,56.8,55.78,55.78,7.42,231300
2003-05-02,55.65,57.49,55.65,57.0,7.5825,148100
2003-05-05,57.05,58.0,56.66,56.8,7.5559,138600
2003-05-06,56.8,56.8,56.03,56.5,7.5158,132200
2003-05-07,56.3,56.6,55.3,55.6,7.3962,140900
2003-05-08,55.4,55.58,54.95,55.38,7.3673,141400
2003-05-09,55.5,56.3,55.05,55.72,7.4122,92200
2003-05-12,55.65,57.25,55.5,56.7,7.5424,91500
2003-05-13,56.6,59.0,56.6,58.6,7.7951,216700
2003-05-14,58.54,59.24,58.34,58.49,7.7808,152600
2003-05-15,58.45,58.87,58.2,58.62,7.7979,55900
2003-05-16,58.57,60.0,58.1,60.0,7.9814,99600
2003-05-19,59.4,59.49,58.37,58.55,7.7884,109500
2003-05-20,58.45,59.3,58.45,58.54,7.7871,92300
2003-05-21,58.45,59.2,58.06,59.17,7.871,71000
2003-05-22,59.42,60.2,59.3,59.7,7.9415,116600
2003-05-23,59.75,60.23,59.72,60.18,8.0053,32200
2003-05-27,59.65,59.65,59.2,59.53,7.9191,81800
2003-05-28,59.53,60.65,59.53,60.45,8.0415,101300
2003-05-29,60.45,60.62,59.87,60.24,8.0133,171300
2003-05-30,60.24,61.8,60.2,61.48,8.1781,164000
2003-06-02,61.55,62.78,61.55,62.05,8.2542,140900
2003-06-03,61.85,62.55,61.85,62.32,8.2904,148200
2003-06-04,62.35,63.46,62.32,63.2,8.4072,109400
2003-06-05,63.2,63.61,62.85,63.01,8.3823,72600
2003-06-06,62.87,62.87,61.0,61.0,8.1268,205600
2003-06-09,60.85,62.19,60.78,62.0,8.2601,367300
2003-06-10,62.05,62.75,61.5,62.2,8.2868,241200
2003-06-11,62.1,62.56,62.1,62.35,8.3068,239500
2003-06-12,62.5,64.5,62.29,64.14,8.5457,199800
2003-06-13,64.14,64.8,64.14,64.52,8.5958,144700
2003-06-16,64.7,65.85,64.7,65.62,8.7422,219700
2003-06-17,65.77,69.5,65.7,69.4,9.2458,466400
2003-06-18,69.3,69.91,68.55,69.6,9.2729,406700
2003-06-19,69.6,70.0,67.63,68.0,9.0593,878600
